Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
BA2032SM-ND,MPD,BA2032SM,REF203,1,
455-1804-1-ND,JST,SM04B-SRSS-TB(LF)(SN)(P),REF202,1,
